dataset,dataset_label,image,image_stem,model,model_label,pll_score,wer,cer,levenshtein,gt_source,gt_file,prediction_file,gt_chars,pred_chars,issue
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00007_fol-1r.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00007_fol-1r,ashkenazy,ashkenazy,99999.0,0.9672131147540984,0.7120253164556962,673.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00007_fol-1r.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/ashkenazy__Bodleian-Library-MS-Oppenheim-Add-4-128_00007_fol-1r.xml,947,337,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r,ashkenazy,ashkenazy,99999.0,0.9941520467836256,0.991389913899139,802.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/ashkenazy__Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.xml,809,7,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r,biblia9,biblia9,99999.0,0.9649122807017544,0.6555965559655597,528.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/biblia9__Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.xml,809,443,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r,italian_7,italian 7,99999.0,0.8713450292397661,0.6014760147601476,485.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/italian_7__Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.xml,809,400,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r,prenumeranten,prenumeranten,99999.0,0.9883040935672516,0.93849938499385,771.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/prenumeranten__Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.xml,809,40,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r,sephardi,sephardi,99999.0,0.8888888888888888,0.4624846248462484,372.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/sephardi__Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.xml,809,557,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r,sinai_no_voc_61,sinai no voc 61,99999.0,0.9766081871345028,0.6642066420664207,535.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/sinai_no_voc_61__Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.xml,809,397,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r,vat44,vat44,99999.0,0.9883040935672516,0.6519065190651907,524.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/vat44__Bodleian-Library-MS-Oppenheim-Add-4-128_00011_fol-3r.xml,809,399,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v,ashkenazy,ashkenazy,99999.0,0.9951923076923076,0.9886831275720164,957.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/ashkenazy__Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.xml,968,11,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v,italian_7,italian 7,102082.62911188602,0.8942307692307693,0.4351851851851852,421.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/italian_7__Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.xml,968,810,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v,prenumeranten,prenumeranten,99999.0,0.9903846153846154,0.8786008230452675,859.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/prenumeranten__Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.xml,968,122,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v,sephardi,sephardi,102039.88659761846,0.8701923076923077,0.4362139917695473,422.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/sephardi__Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.xml,968,795,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v,sinai_no_voc_61,sinai no voc 61,101887.1579896668,0.971153846153846,0.6162551440329218,594.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/sinai_no_voc_61__Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.xml,968,663,fallback_penalty
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.jpg,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v,vat44,vat44,102089.10309123991,0.971153846153846,0.5555555555555556,534.0,gt,datasets/bodleianoppenheimad/gt/Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.txt,analysis_results/full_run_20260613/predictions/bodleianoppenheimad/vat44__Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.xml,968,696,fallback_penalty
