dataset,dataset_label,row_metric,col_metric,correlation
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,pll_score,pll_score,1.0
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,pll_score,wer,0.9094292077004185
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,pll_score,cer,0.735766774224775
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,pll_score,levenshtein,0.7340880218716392
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,wer,pll_score,0.9094292077004185
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,wer,wer,1.0
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,wer,cer,0.9027970615010067
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,wer,levenshtein,0.8986238734789721
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,cer,pll_score,0.735766774224775
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,cer,wer,0.9027970615010067
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,cer,cer,1.0
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,cer,levenshtein,0.9979019861572047
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,levenshtein,pll_score,0.7340880218716392
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,levenshtein,wer,0.8986238734789721
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,levenshtein,cer,0.9979019861572047
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,levenshtein,levenshtein,1.0
bnf150test2,BNF 150 test 2,pll_score,pll_score,1.0
bnf150test2,BNF 150 test 2,pll_score,wer,0.9211282834658691
bnf150test2,BNF 150 test 2,pll_score,cer,0.7672774139136926
bnf150test2,BNF 150 test 2,pll_score,levenshtein,0.7618973786313461
bnf150test2,BNF 150 test 2,wer,pll_score,0.9211282834658691
bnf150test2,BNF 150 test 2,wer,wer,1.0
bnf150test2,BNF 150 test 2,wer,cer,0.918735705958603
bnf150test2,BNF 150 test 2,wer,levenshtein,0.9173425230625007
bnf150test2,BNF 150 test 2,cer,pll_score,0.7672774139136926
bnf150test2,BNF 150 test 2,cer,wer,0.918735705958603
bnf150test2,BNF 150 test 2,cer,cer,1.0
bnf150test2,BNF 150 test 2,cer,levenshtein,0.9991560035724298
bnf150test2,BNF 150 test 2,levenshtein,pll_score,0.7618973786313461
bnf150test2,BNF 150 test 2,levenshtein,wer,0.9173425230625007
bnf150test2,BNF 150 test 2,levenshtein,cer,0.9991560035724298
bnf150test2,BNF 150 test 2,levenshtein,levenshtein,1.0
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,pll_score,pll_score,1.0
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,pll_score,wer,0.1880654425561578
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,pll_score,cer,0.18075147780533665
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,pll_score,levenshtein,0.34483104475843845
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,wer,pll_score,0.1880654425561578
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,wer,wer,1.0
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,wer,cer,0.9031174301493615
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,wer,levenshtein,0.8582085424480049
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,cer,pll_score,0.18075147780533665
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,cer,wer,0.9031174301493615
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,cer,cer,1.0
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,cer,levenshtein,0.967461401876034
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,levenshtein,pll_score,0.34483104475843845
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,levenshtein,wer,0.8582085424480049
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,levenshtein,cer,0.967461401876034
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,levenshtein,levenshtein,1.0
constantinople1520,Constantinople 1520,pll_score,pll_score,1.0
constantinople1520,Constantinople 1520,pll_score,wer,0.1937943742956657
constantinople1520,Constantinople 1520,pll_score,cer,-0.47322088489659736
constantinople1520,Constantinople 1520,pll_score,levenshtein,-0.4126701782656379
constantinople1520,Constantinople 1520,wer,pll_score,0.1937943742956657
constantinople1520,Constantinople 1520,wer,wer,1.0
constantinople1520,Constantinople 1520,wer,cer,-0.494314341717388
constantinople1520,Constantinople 1520,wer,levenshtein,-0.5389918860330926
constantinople1520,Constantinople 1520,cer,pll_score,-0.47322088489659736
constantinople1520,Constantinople 1520,cer,wer,-0.494314341717388
constantinople1520,Constantinople 1520,cer,cer,1.0
constantinople1520,Constantinople 1520,cer,levenshtein,0.9956134501861159
constantinople1520,Constantinople 1520,levenshtein,pll_score,-0.4126701782656379
constantinople1520,Constantinople 1520,levenshtein,wer,-0.5389918860330926
constantinople1520,Constantinople 1520,levenshtein,cer,0.9956134501861159
constantinople1520,Constantinople 1520,levenshtein,levenshtein,1.0
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,pll_score,pll_score,1.0
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,pll_score,wer,0.7169072660006279
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,pll_score,cer,0.4529141482158572
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,pll_score,levenshtein,0.44609896589884823
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,wer,pll_score,0.7169072660006279
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,wer,wer,1.0
