dataset,dataset_label,image,image_stem,model,model_label,pll_score,wer,cer,levenshtein,gt_source,gt_file,prediction_file,gt_chars,pred_chars
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,3922.381534989574,0.5972602739726027,0.2505896226415094,429.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/ashkenazy__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1382
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,5143.6186387352645,0.7917808219178082,0.2954009433962264,505.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/biblia9__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1535
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,italian_7,italian 7,3915.779604180134,0.3178082191780822,0.07841981132075472,139.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/italian_7__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1667
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,prenumeranten,prenumeranten,4495.977370142937,0.989041095890411,0.6709905660377359,1138.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/prenumeranten__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1211
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,sephardi,sephardi,3477.3177983204223,0.32602739726027397,0.08785377358490566,155.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/sephardi__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1643
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,sinai_no_voc_61,sinai no voc 61,4780.825483679771,0.8657534246575342,0.3856132075471698,660.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/sinai_no_voc_61__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1503
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,vat44,vat44,4827.553309260169,0.7150684931506849,0.21580188679245282,371.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/vat44__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1506
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001,ashkenazy,ashkenazy,3666.2323775669065,0.36962750716332377,0.09751665657177468,167.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/ashkenazy__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.xml,1657,1578
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001,biblia9,biblia9,5078.388511445373,0.7191977077363897,0.20775287704421563,347.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/biblia9__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.xml,1657,1543
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001,italian_7,italian 7,3457.531684473506,0.24641833810888253,0.05875227135069655,100.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/italian_7__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.xml,1657,1632
