dataset,dataset_label,image,image_stem,model,model_label,pll_score,wer,cer,levenshtein,gt_source,gt_file,prediction_file,gt_chars,pred_chars,pll_per_pred_char,pll_per_gt_char,pll_per_char_mean,pred_lines_xml,page_weighted_wc,page_mean_wc,page_string_count,gt_lines_text,len_ratio,line_ratio,base_valid,page_high_confidence,page_complete_high_confidence
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,3922.381534989574,0.5972602739726027,0.2505896226415094,429.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/ashkenazy__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1382,2.838192138197955,2.3045719947059777,2.543697493508154,26,0.9113209036838895,0.9113209036838895,299,26,0.8119858989424207,1.0,True,True,True
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,5143.6186387352645,0.7917808219178082,0.2954009433962264,505.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/biblia9__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1535,3.3508916213259052,3.0221026079525646,3.1780158410474293,26,0.9521334220062558,0.9521334220062558,291,26,0.9018801410105758,1.0,True,True,True
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,italian_7,italian 7,3915.779604180134,0.3178082191780822,0.0784198113207547,139.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/italian_7__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1667,2.3489979629154973,2.3006930694360364,2.3245946002850304,26,0.9560662732728454,0.9560662732728454,350,26,0.9794359576968272,1.0,True,True,True
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,prenumeranten,prenumeranten,4495.977370142937,0.989041095890411,0.6709905660377359,1138.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/prenumeranten__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1211,3.71261549970515,2.6415848238207618,3.0868365054191123,26,0.48207803542900973,0.48207803542900973,294,26,0.7115158636897767,1.0,True,False,False
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,sephardi,sephardi,3477.3177983204223,0.3260273972602739,0.0878537735849056,155.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/sephardi__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1643,2.116444186439697,2.043077437321047,2.0791137807595947,26,0.956154145690008,0.956154145690008,344,26,0.9653349001175088,1.0,True,True,True
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,sinai_no_voc_61,sinai no voc 61,4780.825483679771,0.8657534246575342,0.3856132075471698,660.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/sinai_no_voc_61__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1503,3.180855278562722,2.8089456425850594,2.983354435993617,26,0.9261329597217528,0.9261329597217528,299,26,0.8830787309048178,1.0,True,True,True
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,vat44,vat44,4827.553309260169,0.7150684931506849,0.2158018867924528,371.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/vat44__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.xml,1702,1506,3.2055466860957296,2.8364002992127904,3.0096965768454917,26,0.9347903550368416,0.9347903550368416,270,26,0.8848413631022327,1.0,True,True,True
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001,ashkenazy,ashkenazy,3666.2323775669065,0.3696275071633237,0.0975166565717746,167.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/ashkenazy__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.xml,1657,1578,2.32334117716534,2.2125723461478013,2.266604251973358,26,0.9564597467352042,0.9564597467352042,317,26,0.9523234761617381,1.0,True,True,True
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001,biblia9,biblia9,5078.388511445373,0.7191977077363897,0.2077528770442156,347.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/biblia9__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.xml,1657,1543,3.291243364514176,3.0648089990617824,3.173992819653358,26,0.9572417536497038,0.9572417536497038,290,26,0.9312009656004828,1.0,True,True,True
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001,italian_7,italian 7,3457.531684473506,0.2464183381088825,0.0587522713506965,100.0,gt,datasets/bnf150amitaitanchuma2/gt/Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.txt,analysis_results/full_run_20260613/predictions/bnf150amitaitanchuma2/italian_7__Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.xml,1657,1632,2.118585590976413,2.0866214148904683,2.102482021570998,26,0.9643133418681534,0.9643133418681534,343,26,0.9849124924562462,1.0,True,True,True
