table,unit,filter,filter_description,score,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,meets_0_7_pearson,significant_0_05,significant_0_001
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_score,wer,351,0.32454152114068574,4.725116145269533e-10,0.37315268605824553,4.871408873213133e-13,False,True,True
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_score,cer,351,0.4465724944986558,1.3150903475223349e-18,0.4230763467300492,1.1265948327034147e-16,False,True,True
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_score,levenshtein,351,0.9219798886313119,7.40448661514252e-146,0.7992428930575642,3.598214202976117e-79,True,True,True
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_per_pred_char,wer,351,0.667235431757383,1.4315060613132198e-46,0.5459397475295699,1.1765495326461176e-28,False,True,True
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_per_pred_char,cer,351,0.5043891883888684,4.7349655346634576e-24,0.5509189562989879,2.983986114787747e-29,False,True,True
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_per_pred_char,levenshtein,351,0.03480486568745745,0.5157310443459857,0.3371832946429389,8.844274117770494e-11,False,False,False
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_per_gt_char,wer,351,0.6434144163847253,2.0914072334815168e-42,0.59682332175404,3.0160116701089403e-35,False,True,True
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_per_gt_char,cer,351,0.5883996172055022,4.484769832386432e-34,0.5875678731179805,5.829590184233362e-34,False,True,True
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_per_gt_char,levenshtein,351,0.043469120282273295,0.4168647930096509,0.27019307989523433,2.748550594954512e-07,False,False,False
page_base,page,base_valid,Rows with non-missing metrics and no fallback PLL penalty.,pll_per_char_mean,wer,351,0.6989474160180544,9.418386591141576e-53,0.6250788543579745,1.9163783870068208e-39,False,True,True
