variant,variant_description,dataset,dataset_label,pages,rows,row_metric,col_metric,pearson_r
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,pll_score,wer,0.9094292077004185
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,pll_score,cer,0.735766774224775
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,pll_score,levenshtein,0.7340880218716392
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,wer,pll_score,0.9094292077004185
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,wer,cer,0.9027970615010067
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,wer,levenshtein,0.8986238734789721
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,cer,pll_score,0.735766774224775
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,cer,wer,0.9027970615010067
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,cer,levenshtein,0.9979019861572047
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,levenshtein,pll_score,0.7340880218716392
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,levenshtein,wer,0.8986238734789721
