dataset,dataset_label,image,valid_model_rows,pll_wer_corr,pll_cer_corr,pll_levenshtein_corr,diagnostic_mean_corr,removed_by_worst_page_trim
constantinople1520,Constantinople 1520,0007_FL19224773.jpg,7,0.1937943742956657,-0.47322088489659736,-0.4126701782656379,-0.23069889628885654,True
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,35_38155_default.jpg,7,-0.07196282274283637,-0.28371081961467376,-0.28115841441982886,-0.212277352259113,True
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00415_fol-205r.jpg,7,0.0795642527941462,-0.3341073214431379,-0.33252400520187186,-0.1956890246169545,True
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,791_bedca_default.jpg,7,-0.06613876769036144,-0.06220526777702852,-0.06036247741109268,-0.06290217095949421,True
parma3122test2,Parma 3122 test 2,MsParm3122_F12284_0139.tif.jpg,7,0.03947901852180694,-0.03344976828238733,0.18929432035146296,0.06510785686362752,True
neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,362_6a32d_default.jpg,7,0.20593895477758198,0.08558282946291168,0.0825868448404679,0.12470287636032053,True
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00007_fol-1r.jpg,6,0.3008309391592417,0.2464515502286236,0.26357662151999145,0.2702863703026189,True
parma3122test2,Parma 3122 test 2,MsParm3122_F12284_0140.tif.jpg,7,0.10631158292512631,0.3944288474775413,0.46408456053751995,0.32160833031339586,True
midrashhagadoldvarim,Midrash Hagadol Dvarim,0005_FL73982299.jpg,7,-0.1880677431099997,0.45686897154910333,0.763620451976076,0.34414056013839317,True
vatebr34,Vat Ebr 34,13_a79f9_default.jpg,7,-0.6183703799251874,0.8382413079092313,0.8561522002481419,0.35867437607739533,True
oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,435_a56d4_default.jpg,7,0.44196121765385227,0.3192047500882294,0.31623066631568236,0.35913221135258805,True
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00008_fol-1v.jpg,7,0.36042459339634675,0.3516646931798723,0.37643546748873,0.3628415846883164,False
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00015_fol-5r.jpg,7,0.3880033419376973,0.37932357280188866,0.39839243367117866,0.3885731161369215,False
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,345_cf387_default.jpg,7,0.5385474693262079,0.3393905192006272,0.33848000896781133,0.4054726658315488,False
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00009_fol-2r.jpg,7,0.40174414288165666,0.41379800654429233,0.44170527888982375,0.41908247610525756,False
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,315_a9af0_default.jpg,7,0.4038169834332786,0.43486233663936036,0.45028867548950724,0.4296559985207154,False
vatebr34,Vat Ebr 34,9_492ab_default.jpg,7,-0.1710363379150656,0.7878294233379837,0.8050002751471008,0.47393112019000627,False
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00414_fol-204v.jpg,7,0.5209604946134313,0.441489822685599,0.4806207982695957,0.481023705189542,False
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00027_fol-11r.jpg,7,0.44973524897112366,0.4779473648372887,0.5255117620618442,0.4843981252900855,False
vatebr34,Vat Ebr 34,7_fdcd1_default.jpg,7,-0.19969270859403432,0.8689097350042828,0.8869170920447745,0.518711372818341,False
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00010_fol-2v.jpg,7,0.5104843019853119,0.5526208735559585,0.5782898823668464,0.5471316859693722,False
vatebr34,Vat Ebr 34,99_05b89_default.jpg,7,-0.041521267180779156,0.8769701092185807,0.8634898108365753,0.566312884291459,False
