variant,variant_description,dataset,dataset_label,pages,rows,pll_vs_wer,pll_vs_cer,pll_vs_levenshtein,mean_pll_correlation
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,2,14,0.9795480791641239,0.9039886785051743,0.9136818483366848,0.9324062020019944
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,2,14,0.8762647512473437,0.9147492621874814,0.9130797770763756,0.9013645968370669
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,bnf150test2,BNF 150 test 2,2,14,0.9211282834658691,0.7672774139136926,0.7618973786313461,0.8167676920036359
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,2,14,0.6471075499453295,0.8895993586722607,0.89069120416425,0.8091327042606133
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,0.9094292077004185,0.735766774224775,0.7340880218716392,0.7930946679322775
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,0.4475546859223599,0.6500503267669424,0.7435784141642835,0.6137278089511953
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,0.7169072660006279,0.4529141482158572,0.44609896589884823,0.5386401267051112
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,vatebr34,Vat Ebr 34,5,35,0.023479875290431745,0.749193331929403,0.7119085580381961,0.49486058841934355
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,0.4789550920736236,0.43846136306022365,0.5414603092097248,0.4862922547811907
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,0.40336901443905393,0.26660851931890595,0.5564102814294815,0.4087959383958138
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,10,64,0.24904246092491225,0.2697823975143667,0.4542643471678884,0.32436306853572244
base_valid_all_pages,Base-valid rows before removing diagnostic pages,vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,2,14,0.9795480791641239,0.9039886785051743,0.9136818483366848,0.9324062020019944
